#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1755241473643453952,-0.0976116,0.613007,-0.151186,0.106153,-0.787304,-0.290483,-0.533389,-0.227253,0.100349,-0.0781449,0.0104961,-0.036788,0.0195612,-0.073276,-0.124488,0.381006
1755241473653453824,-0.0999132,0.61392,-0.151971,0.111888,-0.7869,-0.291124,-0.532462,-0.233182,0.08153,-0.0784047,0.0104802,-0.0367999,0.0195425,-0.0733337,-0.124619,0.38098
1755241473663453696,-0.102279,0.614622,-0.152749,0.118999,-0.786421,-0.292194,-0.53104,-0.239996,0.058282,-0.0770321,0.0104649,-0.0368126,0.019523,-0.0733904,-0.124752,0.380954
1755241473673453824,-0.104717,0.61508,-0.153507,0.12712,-0.785858,-0.29368,-0.52917,-0.24763,0.0331725,-0.074529,0.0104501,-0.036826,0.019503,-0.0734462,-0.124888,0.380927
1755241473683453696,-0.107233,0.615283,-0.154235,0.136011,-0.785205,-0.295539,-0.526887,-0.255438,0.00745309,-0.0708767,0.0104352,-0.0368396,0.0194825,-0.0735014,-0.125025,0.380901
1755241473693453824,-0.109822,0.615234,-0.15492,0.145407,-0.784599,-0.297593,-0.524118,-0.262252,-0.0171842,-0.0660201,0.0104194,-0.036853,0.0194611,-0.0735562,-0.125163,0.380875
1755241473703453696,-0.112469,0.614946,-0.155551,0.154545,-0.784237,-0.299442,-0.520982,-0.266674,-0.0403171,-0.0601456,0.0104028,-0.0368661,0.0194389,-0.0736107,-0.125303,0.38085
1755241473713453824,-0.115141,0.614426,-0.156123,0.163723,-0.783951,-0.301492,-0.517415,-0.267142,-0.063773,-0.0543855,0.0103852,-0.036879,0.019416,-0.073665,-0.125444,0.380826
1755241473723453696,-0.117802,0.613678,-0.156638,0.17332,-0.783538,-0.303971,-0.51345,-0.264811,-0.0853323,-0.0485071,0.0103669,-0.0368917,0.0193927,-0.073719,-0.125587,0.380804
1755241473733453824,-0.120432,0.612737,-0.157089,0.18295,-0.783023,-0.306525,-0.509359,-0.260804,-0.102402,-0.0415621,0.0103477,-0.0369042,0.0193692,-0.0737727,-0.12573,0.380783
1755241473743453696,-0.123014,0.611645,-0.157469,0.192032,-0.78249,-0.308814,-0.505437,-0.255487,-0.115824,-0.0344489,0.010328,-0.0369163,0.0193459,-0.0738262,-0.125874,0.380764
1755241473753453824,-0.125534,0.610426,-0.157779,0.200146,-0.782053,-0.310739,-0.501773,-0.248,-0.127891,-0.0277058,0.0103079,-0.0369279,0.0193228,-0.0738792,-0.126019,0.380747
1755241473763453696,-0.127967,0.609089,-0.158029,0.207708,-0.781556,-0.312652,-0.498274,-0.238495,-0.139222,-0.0224599,0.0102873,-0.0369392,0.0193001,-0.0739316,-0.126165,0.380732
1755241473773453824,-0.130302,0.607658,-0.158238,0.214702,-0.781071,-0.3144,-0.494958,-0.228287,-0.146512,-0.0197878,0.0102663,-0.03695,0.0192775,-0.0739832,-0.126311,0.380719
1755241473783453696,-0.132527,0.606168,-0.158429,0.221147,-0.780641,-0.315865,-0.491857,-0.216548,-0.151355,-0.0184623,0.0102453,-0.0369604,0.0192551,-0.0740339,-0.126458,0.380707
1755241473793453568,-0.134625,0.604638,-0.158605,0.227351,-0.780135,-0.317272,-0.488916,-0.202795,-0.154307,-0.0164037,0.0102244,-0.0369706,0.0192329,-0.0740834,-0.126606,0.380697
1755241473803453696,-0.136577,0.60309,-0.158748,0.233655,-0.779493,-0.318596,-0.4861,-0.187319,-0.155026,-0.0118264,0.0102037,-0.0369806,0.0192109,-0.0741318,-0.126755,0.380689
1755241473813453568,-0.138369,0.601546,-0.158828,0.240025,-0.778625,-0.319589,-0.48373,-0.17093,-0.15365,-0.00386051,0.010183,-0.0369907,0.0191888,-0.074179,-0.126904,0.380682
1755241473823453696,-0.139995,0.600017,-0.158814,0.245988,-0.77776,-0.320179,-0.48173,-0.154263,-0.152345,0.00693013,0.0101624,-0.0370009,0.0191666,-0.0742252,-0.127055,0.380677
1755241473833453568,-0.141453,0.59849,-0.158688,0.251565,-0.776918,-0.320567,-0.479948,-0.137267,-0.153727,0.0182002,0.0101421,-0.0370117,0.0191443,-0.0742703,-0.127207,0.380673
